country,submarket,year,list_type,brand,weekly_reach_pct,outlet_id,domain,notes,source,brand_type,is_aggregator,domain_valid_from,domain_valid_to,sample_type,fieldwork_start,fieldwork_end,sample_size,human_checked
CHE,french-speaking,2026,online,Blick online,19,che_blick,blick.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,24 heures online,18,che_24heures,24heures.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Blue News,16,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Le Matin online,16,che_lematin,lematin.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Teletext online,13,che_teletext,teletext.ch,Republishes agency copy rather than producing original reporting.,"DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Watson,13,che_watson,watson.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Le Temps online,11,che_letemps,letemps.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Yahoo! News,10,usa_yahoo,yahoo.com,"News aggregator, foreign-owned.","DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,BBC News online,10,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,Tribune de Genève online,10,che_tdg,tdg.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,SRF News (public broadcaster),57,che_srf,srf.ch,Chart also reports SRF TV News 38% and SRF Radio News 36% separately.,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,German public TV news,21,cat_de_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,Commercial TV news,21,cat_commercial_tv,,Aggregate category label for Swiss commercial/private TV news. Wording varies by year ('Other commercial news (e.g. Tele Zuri)' -> 'Other commercial TV' -> 'Private TV news' -> 'Commercial TV news'); treated as one item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,German commercial TV news,20,cat_de_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,Blick,19,che_blick,blick.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,Other regional or local newspapers,17,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,Commercial radio news,15,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,Tages-Anzeiger,10,che_tagesanzeiger,tagesanzeiger.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,CNN,9,usa_cnn,cnn.com,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,BBC News,9,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,SonntagsZeitung,8,che_sonntagszeitung,sonntagszeitung.ch,"sonntagszeitung.ch was a live publishing domain in the early years (73,000+ archived pages); its 2018 archived homepage is titled 'News SonntagsZeitung - tagesanzeiger.ch', i.e. articles were served under Tages-Anzeiger's domain. By 2026 the domain serves an e-paper portal only. TX Group title. UNVERIFIED DOMAIN: which host to fetch articles from per year is unresolved - see domain_evidence_switzerland.tsv.","DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,offline,SonntagsBlick,7,che_sonntagsblick,blick.ch,sonntagsblick.ch redirects to blick.ch; no separate article domain.,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,20 Minuten online,46,che_20min_de,20min.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,SRF News online,32,che_srf,srf.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,Blick online,31,che_blick,blick.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,Watson,21,che_watson,watson.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,Blue News,17,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,nau.ch,12,che_nau,nau.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,Teletext online,11,che_teletext,teletext.ch,Republishes agency copy rather than producing original reporting.,"DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,BBC News online,10,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,NZZ online,10,che_nzz,nzz.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,Tages-Anzeiger online,10,che_tagesanzeiger,tagesanzeiger.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,CNN.com,9,usa_cnn,cnn.com,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,german-speaking,2026,online,GMX,9,deu_gmx,gmx.ch,Email portal with a news feed. German-owned (United Internet); gmx.ch is the Swiss domain.,"DNR 2026, p. 117",aggregator,TRUE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2025,offline,RTS News (public broadcaster),55,che_rts,rts.ch,Chart also reports RTS TV News 41% and RTS Radio News 28% separately.,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,20 Minutes,44,che_20min_fr,20min.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,French commerical TV news,26,cat_fr_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,French public TV news,23,cat_fr_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,24 heures,16,che_24heures,24heures.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,Commercial radio news,15,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,Le Matin Dimanche,13,che_lematindimanche,lematin.ch,UNVERIFIED DOMAIN: lematindimanche.ch serves an e-paper portal only. Recorded lematin.ch as the likely article domain - confirm.,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,BBC News,13,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2025, p. 113",foreign,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,Le Temps,13,che_letemps,letemps.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,Regional or local newspapers (e.g. Le Quotidien Jurassien),12,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,CNN,11,usa_cnn,cnn.com,Foreign outlet appearing in the Swiss list.,"DNR 2025, p. 113",foreign,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,offline,Tribune de Genève,10,che_tdg,tdg.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,20 Minutes online,47,che_20min_fr,20min.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,RTS News online,28,che_rts,rts.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,24 heures online,15,che_24heures,24heures.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Blue News,14,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Le Matin online,14,che_lematin,lematin.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Blick online,14,che_blick,blick.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Watson.ch,13,che_watson,watson.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Teletext online,11,che_teletext,teletext.ch,Republishes agency copy rather than producing original reporting.,"DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,BBC News online,11,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2025, p. 113",foreign,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Yahoo! News,10,usa_yahoo,yahoo.com,"News aggregator, foreign-owned.","DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,Le Temps online,10,che_letemps,letemps.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2025,online,MSN News,9,usa_msn,msn.com,"Microsoft news portal, foreign-owned.","DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,SRF News (public broadcaster),56,che_srf,srf.ch,Chart also reports SRF TV News 38% and SRF Radio News 34% separately.,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,20 Minuten,36,che_20min_de,20min.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,German public TV news,22,cat_de_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,"Commercial TV news (e.g. Tele Züri, Tele Bärn, TeleM1)",18,cat_commercial_tv,,Aggregate category label for Swiss commercial/private TV news. Wording varies by year ('Other commercial news (e.g. Tele Zuri)' -> 'Other commercial TV' -> 'Private TV news' -> 'Commercial TV news'); treated as one item.,"DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,German commercial TV news,17,cat_de_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,Blick,17,che_blick,blick.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,Commercial radio news,16,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,Regional or local newspaper,16,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,Tages-Anzeiger,10,che_tagesanzeiger,tagesanzeiger.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,Neue Zürcher Zeitung (NZZ),8,che_nzz,nzz.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,SonntagsZeitung,8,che_sonntagszeitung,sonntagszeitung.ch,"sonntagszeitung.ch was a live publishing domain in the early years (73,000+ archived pages); its 2018 archived homepage is titled 'News SonntagsZeitung - tagesanzeiger.ch', i.e. articles were served under Tages-Anzeiger's domain. By 2026 the domain serves an e-paper portal only. TX Group title. UNVERIFIED DOMAIN: which host to fetch articles from per year is unresolved - see domain_evidence_switzerland.tsv.","DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,offline,BBC News,8,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2025, p. 113",foreign,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,20 Minuten online,46,che_20min_de,20min.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,SRF News online,30,che_srf,srf.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Blick online,26,che_blick,blick.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Watson,22,che_watson,watson.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Blue News,14,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,nau.ch,14,che_nau,nau.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,NZZ online,11,che_nzz,nzz.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Tages-Anzeiger online,10,che_tagesanzeiger,tagesanzeiger.ch,,"DNR 2025, p. 113",outlet,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Teletext online,10,che_teletext,teletext.ch,Republishes agency copy rather than producing original reporting.,"DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,GMX,9,deu_gmx,gmx.ch,Email portal with a news feed. German-owned (United Internet); gmx.ch is the Swiss domain.,"DNR 2025, p. 113",aggregator,TRUE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,Regional or local newspaper online,9,cat_regional_local_press_online,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2025, p. 113",category,FALSE,,,national,2025-01,2025-02,2023,
CHE,german-speaking,2025,online,BBC News online,9,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2025, p. 113",foreign,FALSE,,,national,2025-01,2025-02,2023,
CHE,french-speaking,2024,offline,RTS News (public broadcaster),61,che_rts,rts.ch,Chart also reports RTS TV News 46% and RTS Radio News 32% separately.,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,20 Minutes,44,che_20min_fr,20min.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,French private TV news,27,cat_fr_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,French public TV news,23,cat_fr_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Regional or local newspaper,15,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,24 heures,15,che_24heures,24heures.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Private radio news,13,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Le Matin Dimanche,13,che_lematindimanche,lematin.ch,UNVERIFIED DOMAIN: lematindimanche.ch serves an e-paper portal only. Recorded lematin.ch as the likely article domain - confirm.,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Le Temps,10,che_letemps,letemps.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Le Nouvelliste,9,che_nouvelliste,lenouvelliste.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Private TV news,9,cat_commercial_tv,,Aggregate category label for Swiss commercial/private TV news. Wording varies by year ('Other commercial news (e.g. Tele Zuri)' -> 'Other commercial TV' -> 'Private TV news' -> 'Commercial TV news'); treated as one item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,offline,Tribune de Genève,9,che_tdg,tdg.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,20 Minutes online,47,che_20min_fr,20min.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,RTS News online,26,che_rts,rts.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,24 heures.ch,15,che_24heures,24heures.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Blue News,15,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2024, p. 109",aggregator,TRUE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Le Matin online,14,che_lematin,lematin.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Teletext online,13,che_teletext,teletext.ch,Republishes agency copy rather than producing original reporting.,"DNR 2024, p. 109",aggregator,TRUE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Blick online,12,che_blick,blick.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Le Nouvelliste online,10,che_nouvelliste,lenouvelliste.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Watson.ch,9,che_watson,watson.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,Yahoo! News,9,usa_yahoo,yahoo.com,"News aggregator, foreign-owned.","DNR 2024, p. 109",aggregator,TRUE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,CNN.com,9,usa_cnn,cnn.com,Foreign outlet appearing in the Swiss list.,"DNR 2024, p. 109",foreign,FALSE,,,national,2024-01,2024-02,2012,
CHE,french-speaking,2024,online,MSN News,8,usa_msn,msn.com,"Microsoft news portal, foreign-owned.","DNR 2024, p. 109",aggregator,TRUE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,SRF News (public broadcaster),59,che_srf,srf.ch,Chart also reports SRF TV News 40% and SRF Radio News 37% separately.,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,20 Minuten,40,che_20min_de,20min.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,German public TV news,20,cat_de_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Private TV news,19,cat_commercial_tv,,Aggregate category label for Swiss commercial/private TV news. Wording varies by year ('Other commercial news (e.g. Tele Zuri)' -> 'Other commercial TV' -> 'Private TV news' -> 'Commercial TV news'); treated as one item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,German private TV news,18,cat_de_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Blick,16,che_blick,blick.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Regional or local newspapers,15,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Private radio news,13,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2024, p. 109",category,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Tages-Anzeiger,11,che_tagesanzeiger,tagesanzeiger.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,Neue Zürcher Zeitung (NZZ),8,che_nzz,nzz.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,BBC News,7,gbr_bbc,bbc.co.uk,Foreign outlet appearing in the Swiss list.,"DNR 2024, p. 109",foreign,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,offline,SonntagsZeitung,6,che_sonntagszeitung,sonntagszeitung.ch,"sonntagszeitung.ch was a live publishing domain in the early years (73,000+ archived pages); its 2018 archived homepage is titled 'News SonntagsZeitung - tagesanzeiger.ch', i.e. articles were served under Tages-Anzeiger's domain. By 2026 the domain serves an e-paper portal only. TX Group title. UNVERIFIED DOMAIN: which host to fetch articles from per year is unresolved - see domain_evidence_switzerland.tsv.","DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,online,20 Minuten online,44,che_20min_de,20min.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,online,SRF News online,28,che_srf,srf.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,online,Blick online,27,che_blick,blick.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,online,Watson,19,che_watson,watson.ch,,"DNR 2024, p. 109",outlet,FALSE,,,national,2024-01,2024-02,2012,
CHE,german-speaking,2024,online,Blue News,15,che_bluenews,bluewin.ch,"Swisscom portal. Branded Bluewin, later Blue News; bluenews.ch redirects to bluewin.ch, where the articles live.","DNR 2024, p. 109",aggregator,TRUE,,,national,2024-01,2024-02,2012,
